2_31589217,0,0,0,0,0,2,2,0,0,0,0,25,26,125879,0,85814,105265,105313,0,0
2_31219161,0,0,0,0,0,2,2,0,0,0,0,42,54,1351,57686,107755,76500,0,0,0
2_32939692,476,118,30,11,4,2,2,0,0,9,磊艺海生辉,5,1,107574,58365,85818,70306,71137,133141,8405
2_31395075,0,0,0,0,0,2,2,0,0,0,0,5,0,2312,70441,85818,105328,170528,2843,83350
2_32089717,1340,399,19,7,3,2,2,0,15,17,凤凰网,60,0,58265,90931,105319,106652,70467,0,0
2_30993900,0,0,0,0,0,2,2,0,0,0,0,52,0,69633,1776,107755,134230,0,0,0
2_32005576,663,174,28,6,4,2,2,0,17,25,燃妈育儿经,32,0,32458,56221,105231,105761,68482,68482,40859
2_30463886,0,0,0,0,0,2,2,0,0,0,0,9,0,4193,65108,85818,105328,170528,4776,0
2_32683672,789,199,31,9,5,2,2,0,4,13,全球精彩影视,5,0,4227,99018,85818,105328,170528,96648,4810
2_32658032,465,0,29,0,4,2,2,0,5,9,小嚴聊娱乐,33,54,260329,106473,85818,70306,71137,109492,71138
1_50598243,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,105231,105761,105819,68413,68353
2_31367059,0,0,0,0,0,2,2,0,0,0,0,1,5,2053,2356,85818,105328,0,2571,2889
2_30357229,0,0,0,0,0,2,2,0,0,0,0,5,0,51294,60483,85814,105265,105272,0,0
2_31897335,0,0,0,0,0,2,4,115,19,3,薇薇说育儿,54,0,0,0,85814,105265,105272,0,0
2_30546991,0,0,0,0,0,2,2,0,0,0,0,11,7,27512,55551,105320,69331,93831,0,0
1_50889105,90,22,0,0,0,1,2,0,0,0,0,0,0,0,0,85814,105265,0,0,0
2_32088435,0,0,20,8,0,2,4,119,15,3,网易有料-娱乐星座,1,4,231737,67204,105226,10748,106741,104639,8701
2_31335723,0,0,0,0,0,2,2,0,0,0,0,5,0,6760,5125,85818,105328,0,7209,80429
1_50280316,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,105320,106718,107659,68587,0
2_31205372,0,0,0,0,0,2,2,0,0,0,0,3,5,8810,66434,85814,105492,73440,79462,83045
2_32062971,755,183,30,11,5,2,2,0,16,9,娱乐旅行家,5,0,7786,2008,85818,105328,0,2523,0
2_32811440,852,196,28,7,5,2,2,0,2,9,观赏红颜,1,0,2154,90754,85818,70306,71137,2673,94635
2_31716508,0,0,0,0,5,2,2,0,22,5,浅谈养生堂,8,0,107301,106035,105320,0,0,97036,0
2_31625299,0,0,0,0,0,2,2,0,0,0,0,5,0,67131,93289,85818,105328,301009,80208,0
1_50693525,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,105231,105761,68482,0,0
2_31425084,0,0,0,0,0,2,2,0,0,0,0,18,0,54784,75977,105320,69331,93831,0,0
2_30180407,0,0,0,0,0,2,2,0,0,0,0,54,0,70067,74676,107040,72377,0,87430,83059
2_31746075,0,0,0,0,5,2,2,0,22,5,吴雪鹏说生活,25,0,61330,60460,85814,105265,105313,0,0
2_32217575,27,7,22,7,0,2,4,32,13,16,萌化人的阿幽幽,11,6,64648,64779,105227,142874,77834,77842,108659
1_50206608,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,105231,105761,302913,0,0
2_30494960,0,0,0,0,0,2,2,0,0,0,0,15,0,59416,75888,105227,105125,148678,72176,0
2_25890959,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2_31096130,0,0,0,0,0,2,2,0,0,0,0,36,0,5486,79510,106724,106586,0,5944,88429
2_31522375,0,0,0,0,0,2,2,0,0,0,0,52,45,71822,60711,105321,148723,0,0,0
2_29983424,0,0,0,0,0,2,2,0,0,0,0,36,19,57376,32939,0,0,0,0,0
